cluster	reference	dices_speech_id	speaker	addressee	text	notes	evaluation (against exp6)
001	Hom. Il. 2.11-2.15	37	Zeus	Oneirus	θωρῆξαί ἑ κέλευε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοι πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται.		Matched predicted cluster 54 (spurious-match)
001	Hom. Il. 2.28-2.32	38	Oneirus	Agamemnon	θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται		Matched predicted cluster 54 (spurious-match)
001	Hom. Il. 2.66-2.69	40	Agamemnon	Greek leaders	θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται	This is passage is not listed by de Jong in the table of Appendix 5 but it's mentioned at p. 181. 	Matched predicted cluster 54 (spurious-match)
002	Hom. Il. 2.23-33	38	Oneirus	Agamemnon	εὕδεις Ἀτρέος υἱὲ δαΐφρονος ἱπποδάμοιο· οὐ χρὴ παννύχιον εὕδειν βουληφόρον ἄνδρα ᾧ λαοί τʼ ἐπιτετράφαται καὶ τόσσα μέμηλε· νῦν δʼ ἐμέθεν ξύνες ὦκα· Διὸς δέ τοι ἄγγελός εἰμι, ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει. θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται ἐκ Διός· ἀλλὰ σὺ σῇσιν ἔχε φρεσί,	We decided to take the whole speech as 002 cluster (Oneirus' introduction + Zeus' message 001 cluster + Oneirus' conclusion). This means that the passage Hom. Il. 2.11-2.15 appears several times in our dataset in different clusters. We adopt the criterion of the "larger box"	Matched predicted cluster 54 (spurious-match)
002	Hom. Il. 2.60-70	40	Agamemnon	Greek leaders	εὕδεις Ἀτρέος υἱὲ δαΐφρονος ἱπποδάμοιο· οὐ χρὴ παννύχιον εὕδειν βουληφόρον ἄνδρα, ᾧ λαοί τʼ ἐπιτετράφαται καὶ τόσσα μέμηλε· νῦν δʼ ἐμέθεν ξύνες ὦκα· Διὸς δέ τοι ἄγγελός εἰμι, ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει· θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται ἐκ Διός· ἀλλὰ σὺ σῇσιν ἔχε φρεσίν·		Matched predicted cluster 54 (spurious-match)
003	Hom. Il. 2.158-165	43	Hera	Athena	οὕτω δὴ οἶκον δὲ φίλην ἐς πατρίδα γαῖαν Ἀργεῖοι φεύξονται ἐπʼ εὐρέα νῶτα θαλάσσης, κὰδ δέ κεν εὐχωλὴν Πριάμῳ καὶ Τρωσὶ λίποιεν Ἀργείην Ἑλένην, ἧς εἵνεκα πολλοὶ Ἀχαιῶν ἐν Τροίῃ ἀπόλοντο φίλης ἀπὸ πατρίδος αἴης· ἀλλʼ ἴθι νῦν κατὰ λαὸν Ἀχαιῶν χαλκοχιτώνων· σοῖς ἀγανοῖς ἐπέεσσιν ἐρήτυε φῶτα ἕκαστον, μηδὲ ἔα νῆας ἅλα δʼ ἑλκέμεν ἀμφιελίσσας.		Matched predicted cluster 58 (exact-match)
003	Hom. Il. 2.174-181	44	Athena	Odysseus	οὕτω δὴ οἶκον δὲ φίλην ἐς πατρίδα γαῖαν φεύξεσθʼ ἐν νήεσσι πολυκλήϊσι πεσόντες, κὰδ δέ κεν εὐχωλὴν Πριάμῳ καὶ Τρωσὶ λίποιτε Ἀργείην Ἑλένην, ἧς εἵνεκα πολλοὶ Ἀχαιῶν ἐν Τροίῃ ἀπόλοντο φίλης ἀπὸ πατρίδος αἴης; ἀλλʼ ἴθι νῦν κατὰ λαὸν Ἀχαιῶν, μηδʼ ἔτʼ ἐρώει, σοῖς δʼ ἀγανοῖς ἐπέεσσιν ἐρήτυε φῶτα ἕκαστον, μηδὲ ἔα νῆας ἅλα δʼ ἑλκέμεν ἀμφιελίσσας.		Matched predicted cluster 58 (exact-match)
004	Hom. Il. 3.68-73	58	Paris	Hector	ἄλλους μὲν κάθισον Τρῶας καὶ πάντας Ἀχαιούς, αὐτὰρ ἔμʼ ἐν μέσσῳ καὶ ἀρηΐφιλον Μενέλαον συμβάλετʼ ἀμφʼ Ἑλένῃ καὶ κτήμασι πᾶσι μάχεσθαι· ὁππότερος δέ κε νικήσῃ κρείσσων τε γένηται, κτήμαθʼ ἑλὼν εὖ πάντα γυναῖκά τε οἴκαδʼ ἀγέσθω· οἳ δʼ ἄλλοι φιλότητα καὶ ὅρκια πιστὰ ταμόντες 		Matched predicted cluster 144 (partial-match)
004	Hom. Il. 3.88-94	60	Hector	Greeks/Trojans	ἄλλους μὲν κέλεται Τρῶας καὶ πάντας Ἀχαιοὺς τεύχεα κάλʼ ἀποθέσθαι ἐπὶ χθονὶ πουλυβοτείρῃ, αὐτὸν δʼ ἐν μέσσῳ καὶ ἀρηΐφιλον Μενέλαον οἴους ἀμφʼ Ἑλένῃ καὶ κτήμασι πᾶσι μάχεσθαι. ὁππότερος δέ κε νικήσῃ κρείσσων τε γένηται κτήμαθʼ ἑλὼν εὖ πάντα γυναῖκά τε οἴκαδʼ ἀγέσθω· οἳ δʼ ἄλλοι φιλότητα καὶ ὅρκια πιστὰ τάμωμεν.		Matched predicted cluster 144 (partial-match)
004	Hom. Il. 3.253-258	72	Idaius	Priam	αὐτὰρ Ἀλέξανδρος καὶ ἀρηΐφιλος Μενέλαος μακρῇς ἐγχείῃσι μαχήσοντʼ ἀμφὶ γυναικί· τῷ δέ κε νικήσαντι γυνὴ καὶ κτήμαθʼ ἕποιτο· οἳ δʼ ἄλλοι φιλότητα καὶ ὅρκια πιστὰ ταμόντες.		Matched predicted cluster 144 (partial-match)
