,cluster,id,label,dices_tags,dices_speech_id,text
0,237,318,"Homer, Odyssey 4.333-4.592",nar|res,776,"μοῖρα φίλους τʼ ἰδέειν καὶ ἱκέσθαι οἶκον ἐυκτίμενον καὶ σὴν ἐς πατρίδα γαῖαν, "
1,237,334,"Homer, Odyssey 4.472-4.480",ins|res,784,"μοῖρα φίλους τʼ ἰδέειν καὶ ἱκέσθαι οἶκον ἐυκτίμενον καὶ σὴν ἐς πατρίδα γαῖαν, "
2,237,823,"Homer, Odyssey 5.29-5.42",com,812,οἱ μοῖρʼ ἐστὶ φίλους τʼ ἰδέειν καὶ ἱκέσθαι οἶκον ἐς ὑψόροφον καὶ ἑὴν ἐς πατρίδα γαῖαν.
3,237,828,"Homer, Odyssey 5.97-5.115",com|mes|nar|res,814,ἀλλʼ ἔτι οἱ μοῖρʼ ἐστὶ φίλους τʼ ἰδέειν καὶ ἱκέσθαι οἶκον ἐς ὑψόροφον καὶ ἑὴν ἐς πατρίδα γαῖαν.
4,237,875,"Homer, Odyssey 6.255-6.315",inf|ins,839,φίλους τʼ ἰδέειν καὶ ἱκέσθαι οἶκον ἐυκτίμενον καὶ σὴν ἐς πατρίδα γαῖαν.
5,237,887,"Homer, Odyssey 7.48-7.77",inf|ins,844,φίλους τʼ ἰδέειν καὶ ἱκέσθαι οἶκον ἐς ὑψόροφον καὶ σὴν ἐς πατρίδα γαῖαν.
6,237,1015,"Homer, Odyssey 9.528-9.535",pra|req,909,"ἀλλʼ εἴ οἱ μοῖρʼ ἐστὶ φίλους τʼ ἰδέειν καὶ ἱκέσθαι οἶκον ἐυκτίμενον καὶ ἑὴν ἐς πατρίδα γαῖαν, "
7,109,187,"Homer, Odyssey 2.85-2.128",del|inf|req|vit,721,"κοῦροι ἐμοὶ μνηστῆρες, ἐπεὶ θάνε δῖος Ὀδυσσεύς, μίμνετʼ ἐπειγόμενοι τὸν ἐμὸν γάμον, εἰς ὅ κε φᾶρος ἐκτελέσω, μή μοι μεταμώνια νήματʼ ὄληται, Λαέρτῃ ἥρωι ταφήιον, εἰς ὅτε κέν μιν μοῖρʼ ὀλοὴ καθέλῃσι τανηλεγέος θανάτοιο, μή τίς μοι κατὰ δῆμον Ἀχαιϊάδων νεμεσήσῃ. αἴ κεν ἄτερ σπείρου κεῖται πολλὰ κτεατίσσας. "
8,109,189,"Homer, Odyssey 2.96-2.102",inf,722,"κοῦροι ἐμοὶ μνηστῆρες, ἐπεὶ θάνε δῖος Ὀδυσσεύς, μίμνετʼ ἐπειγόμενοι τὸν ἐμὸν γάμον, εἰς ὅ κε φᾶρος ἐκτελέσω, μή μοι μεταμώνια νήματʼ ὄληται, Λαέρτῃ ἥρωι ταφήιον, εἰς ὅτε κέν μιν μοῖρʼ ὀλοὴ καθέλῃσι τανηλεγέος θανάτοιο, μή τίς μοι κατὰ δῆμον Ἀχαιϊάδων νεμεσήσῃ. αἴ κεν ἄτερ σπείρου κεῖται πολλὰ κτεατίσσας."
9,109,586,"Homer, Odyssey 19.124-19.163",lam,1198,"κοῦροι, ἐμοὶ μνηστῆρες, ἐπεὶ θάνε δῖος Ὀδυσσεύς, μίμνετʼ ἐπειγόμενοι τὸν ἐμὸν γάμον, εἰς ὅ κε φᾶρος ἐκτελέσω—μή μοι μεταμώνια νήματʼ ὄληται— Λαέρτῃ ἥρωϊ ταφήϊον, εἰς ὅτε κέν μιν μοῖρʼ ὀλοὴ καθέλῃσι τανηλεγέος θανάτοιο· μή τίς μοι κατὰ δῆμον Ἀχαιϊάδων νεμεσήσῃ, αἴ κεν ἄτερ σπείρου κεῖται πολλὰ κτεατίσσας. "
10,109,587,"Homer, Odyssey 19.141-19.147",del|nar|que,1199,"κοῦροι, ἐμοὶ μνηστῆρες, ἐπεὶ θάνε δῖος Ὀδυσσεύς, μίμνετʼ ἐπειγόμενοι τὸν ἐμὸν γάμον, εἰς ὅ κε φᾶρος ἐκτελέσω—μή μοι μεταμώνια νήματʼ ὄληται— Λαέρτῃ ἥρωϊ ταφήϊον, εἰς ὅτε κέν μιν μοῖρʼ ὀλοὴ καθέλῃσι τανηλεγέος θανάτοιο· μή τίς μοι κατὰ δῆμον Ἀχαιϊάδων νεμεσήσῃ, αἴ κεν ἄτερ σπείρου κεῖται πολλὰ κτεατίσσας."
11,109,1298,"Homer, Odyssey 24.121-24.190",nar,1342,"κοῦροι ἐμοὶ μνηστῆρες, ἐπεὶ θάνε δῖος Ὀδυσσεύς, μίμνετʼ ἐπειγόμενοι τὸν ἐμὸν γάμον, εἰς ὅ κε φᾶρος ἐκτελέσω, μή μοι μεταμώνια νήματʼ ὄληται, Λαέρτῃ ἥρωϊ ταφήϊον, εἰς ὅτε κέν μιν μοῖρʼ ὀλοὴ καθέλῃσι τανηλεγέος θανάτοιο, μή τίς μοι κατὰ δῆμον Ἀχαιϊάδων νεμεσήσῃ, αἴ κεν ἄτερ σπείρου κεῖται πολλὰ κτεατίσσας. "
12,109,1299,"Homer, Odyssey 24.131-24.137",del,1343,"κοῦροι ἐμοὶ μνηστῆρες, ἐπεὶ θάνε δῖος Ὀδυσσεύς, μίμνετʼ ἐπειγόμενοι τὸν ἐμὸν γάμον, εἰς ὅ κε φᾶρος ἐκτελέσω, μή μοι μεταμώνια νήματʼ ὄληται, Λαέρτῃ ἥρωϊ ταφήϊον, εἰς ὅτε κέν μιν μοῖρʼ ὀλοὴ καθέλῃσι τανηλεγέος θανάτοιο, μή τίς μοι κατὰ δῆμον Ἀχαιϊάδων νεμεσήσῃ, αἴ κεν ἄτερ σπείρου κεῖται πολλὰ κτεατίσσας."
13,192,318,"Homer, Odyssey 4.333-4.592",nar|res,776,"οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης. "
14,192,344,"Homer, Odyssey 4.555-4.569",inf,789,"οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης. "
15,192,494,"Homer, Odyssey 17.108-17.149",inf,1107,"οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης "
16,192,495,"Homer, Odyssey 17.124-17.146",inf|nar,1108,"οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης"
17,192,820,"Homer, Odyssey 5.7-5.20",per|req,810,"οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης. "
18,192,829,"Homer, Odyssey 5.118-5.144",del|vit,815,"οὐ γάρ μοι πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης. "
19,93,381,"Homer, Odyssey 13.200-13.216",lam,994,"ὤ μοι ἐγώ, τέων αὖτε βροτῶν ἐς γαῖαν ἱκάνω; ἦ ῥʼ οἵ γʼ ὑβρισταί τε καὶ ἄγριοι οὐδὲ δίκαιοι, ἦε φιλόξεινοι, καί σφιν νόος ἐστὶ θεουδής; πῇ δὴ "
20,93,864,"Homer, Odyssey 6.119-6.126",que,833,"ὤ μοι ἐγώ, τέων αὖτε βροτῶν ἐς γαῖαν ἱκάνω; ἦ ῥʼ οἵ γʼ ὑβρισταί τε καὶ ἄγριοι οὐδὲ δίκαιοι, ἦε φιλόξεινοι καί σφιν νόος ἐστὶ θεουδής; ὥς "
21,93,976,"Homer, Odyssey 8.536-8.586",del|que,889,"τε καὶ ἄγριοι οὐδὲ δίκαιοι, οἵ τε φιλόξεινοι, καί σφιν νόος ἐστὶ θεουδής. εἰπὲ δʼ "
22,93,979,"Homer, Odyssey 9.2-11.332",inf|nar|res,890,"ῥʼ οἵ γʼ ὑβρισταί τε καὶ ἄγριοι οὐδὲ δίκαιοι, ἦε φιλόξεινοι, καί σφιν νόος ἐστὶ θεουδής. ὣς "
23,93,981,"Homer, Odyssey 9.172-9.176",com|del,891,"ῥʼ οἵ γʼ ὑβρισταί τε καὶ ἄγριοι οὐδὲ δίκαιοι, ἦε φιλόξεινοι, καί σφιν νόος ἐστὶ θεουδής."
24,191,318,"Homer, Odyssey 4.333-4.592",nar|res,776,"ἐν νήσῳ θαλερὸν κατὰ δάκρυ χέοντα, νύμφης ἐν μεγάροισι Καλυψοῦς, ἥ μιν ἀνάγκῃ ἴσχει· ὁ δʼ οὐ δύναται ἣν πατρίδα γαῖαν ἱκέσθαι· οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης. "
25,191,344,"Homer, Odyssey 4.555-4.569",inf,789,"ἐν νήσῳ θαλερὸν κατὰ δάκρυ χέοντα, νύμφης ἐν μεγάροισι Καλυψοῦς, ἥ μιν ἀνάγκῃ ἴσχει· ὁ δʼ οὐ δύναται ἣν πατρίδα γαῖαν ἱκέσθαι· οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης. "
26,191,494,"Homer, Odyssey 17.108-17.149",inf,1107,"ἐν νήσῳ ἰδέειν κρατέρʼ ἄλγεʼ ἔχοντα, νύμφης ἐν μεγάροισι Καλυψοῦς, ἥ μιν ἀνάγκῃ ἴσχει· ὁ δʼ οὐ δύναται ἣν πατρίδα γαῖαν ἱκέσθαι. οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης "
27,191,495,"Homer, Odyssey 17.124-17.146",inf|nar,1108,"ἐν νήσῳ ἰδέειν κρατέρʼ ἄλγεʼ ἔχοντα, νύμφης ἐν μεγάροισι Καλυψοῦς, ἥ μιν ἀνάγκῃ ἴσχει· ὁ δʼ οὐ δύναται ἣν πατρίδα γαῖαν ἱκέσθαι. οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης"
28,191,820,"Homer, Odyssey 5.7-5.20",per|req,810,"ἐν νήσῳ κεῖται κρατέρʼ ἄλγεα πάσχων νύμφης ἐν μεγάροισι Καλυψοῦς, ἥ μιν ἀνάγκῃ ἴσχει· ὁ δʼ οὐ δύναται ἣν πατρίδα γαῖαν ἱκέσθαι· οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι, οἵ κέν μιν πέμποιεν ἐπʼ εὐρέα νῶτα θαλάσσης. "
29,1,401,"Homer, Odyssey 14.149-14.164",con|ora,1014,"ἴστω νῦν Ζεὺς πρῶτα θεῶν, ξενίη τε τράπεζα, ἱστίη τʼ Ὀδυσῆος ἀμύμονος, ἣν ἀφικάνω· ἦ μέν τοι τάδε πάντα τελείεται ὡς ἀγορεύω. τοῦδʼ αὐτοῦ λυκάβαντος ἐλεύσεται ἐνθάδʼ Ὀδυσσεύς. τοῦ μὲν φθίνοντος μηνός, τοῦ δʼ ἱσταμένοιο, "
30,1,497,"Homer, Odyssey 17.152-17.161",inf,1109,"ἴστω νῦν Ζεὺς πρῶτα θεῶν, ξενίη τε τράπεζα ἱστίη τʼ Ὀδυσῆος ἀμύμονος, ἣν ἀφικάνω, ὡς ἦ τοι "
31,1,592,"Homer, Odyssey 19.262-19.307",con|nar,1204,"ἴστω νῦν Ζεὺς πρῶτα, θεῶν ὕπατος καὶ ἄριστος, ἱστίη τʼ Ὀδυσῆος ἀμύμονος, ἣν ἀφικάνω· ἦ μέν τοι τάδε πάντα τελείεται ὡς ἀγορεύω. τοῦδʼ αὐτοῦ λυκάβαντος ἐλεύσεται ἐνθάδʼ Ὀδυσσεύς, τοῦ μὲν φθίνοντος μηνός, τοῦ δʼ ἱσταμένοιο."
32,1,1186,"Homer, Odyssey 20.227-20.234",vow,1237,"ἴστω νῦν Ζεὺς πρῶτα θεῶν ξενίη τε τράπεζα ἱστίη τʼ Ὀδυσῆος ἀμύμονος, ἣν ἀφικάνω, ἦ σέθεν ἐνθάδʼ ἐόντος ἐλεύσεται οἴκαδʼ "
33,53,387,"Homer, Odyssey 13.330-13.351",del|inf,1000,"ἐνὶ μεγάροισιν, ὀϊζυραὶ δέ οἱ αἰεὶ φθίνουσιν νύκτες τε καὶ ἤματα δάκρυ χεούσῃ. "
34,53,456,"Homer, Odyssey 16.37-16.39",res,1069,καὶ λίην κείνη γε μένει τετληότι θυμῷ σοῖσιν ἐνὶ μεγάροισιν· ὀϊζυραὶ δέ οἱ αἰεὶ φθίνουσιν νύκτες τε καὶ ἤματα δάκρυ χεούσῃ.
35,53,979,"Homer, Odyssey 9.2-11.332",inf|nar|res,890,καὶ λίην κείνη γε μένει τετληότι θυμῷ σοῖσιν ἐνὶ μεγάροισιν· ὀιζυραὶ δέ οἱ αἰεὶ φθίνουσιν νύκτες τε καὶ ἤματα δάκρυ χεούσῃ. 
36,53,1088,"Homer, Odyssey 11.181-11.203",inf|res,948,καὶ λίην κείνη γε μένει τετληότι θυμῷ σοῖσιν ἐνὶ μεγάροισιν· ὀιζυραὶ δέ οἱ αἰεὶ φθίνουσιν νύκτες τε καὶ ἤματα δάκρυ χεούσῃ. 
37,56,1107,"Homer, Odyssey 11.378-12.453",nar,957,"Ἀτρεΐδη κύδιστε, ἄναξ ἀνδρῶν Ἀγάμεμνον, τίς νύ σε κὴρ ἐδάμασσε τανηλεγέος θανάτοιο; ἦε σέ γʼ ἐν νήεσσι Ποσειδάων ἐδάμασσεν ὄρσας ἀργαλέων ἀνέμων ἀμέγαρτον ἀυτμήν; ἦέ σʼ ἀνάρσιοι ἄνδρες ἐδηλήσαντʼ ἐπὶ χέρσου βοῦς περιταμνόμενον ἠδʼ οἰῶν πώεα καλά, ἠὲ περὶ πτόλιος μαχεούμενον ἠδὲ γυναικῶν; "
38,56,1109,"Homer, Odyssey 11.397-11.403",que,958,"Ἀτρεΐδη κύδιστε, ἄναξ ἀνδρῶν Ἀγάμεμνον, τίς νύ σε κὴρ ἐδάμασσε τανηλεγέος θανάτοιο; ἦε σέ γʼ ἐν νήεσσι Ποσειδάων ἐδάμασσεν ὄρσας ἀργαλέων ἀνέμων ἀμέγαρτον ἀυτμήν; ἦέ σʼ ἀνάρσιοι ἄνδρες ἐδηλήσαντʼ ἐπὶ χέρσου βοῦς περιταμνόμενον ἠδʼ οἰῶν πώεα καλά, ἠὲ περὶ πτόλιος μαχεούμενον ἠδὲ γυναικῶν;"
39,56,1111,"Homer, Odyssey 11.404-11.434",nar|res,959,"γʼ ἐν νήεσσι Ποσειδάων ἐδάμασσεν ὄρσας ἀργαλέων ἀνέμων ἀμέγαρτον ἀυτμήν, οὔτε μʼ ἀνάρσιοι ἄνδρες ἐδηλήσαντʼ ἐπὶ χέρσου, "
40,56,1297,"Homer, Odyssey 24.106-24.119",que,1341,"ἐν νήεσσι Ποσειδάων ἐδάμασσεν, ὄρσας ἀργαλέους ἀνέμους καὶ κύματα μακρά; ἦ που ἀνάρσιοι ἄνδρες ἐδηλήσαντʼ ἐπὶ χέρσου βοῦς περιταμνομένους ἠδʼ οἰῶν πώεα καλά, ἠὲ περὶ πτόλιος μαχεούμενοι ἠδὲ γυναικῶν; "
41,73,1336,"Homer, Iliad 2.60-2.70",com|mes,40,"θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται "
42,73,1338,"Homer, Iliad 2.23-2.34",com|mes,38,"θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται "
43,73,1363,"Homer, Iliad 2.8-2.15",com|ins,37,"θωρῆξαί ἑ κέλευε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοι πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται."
44,73,1367,"Homer, Iliad 2.56-2.75",del|inf|nar,39,"θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται "
45,80,414,"Homer, Odyssey 14.508-14.517",del,1027,"αὐτὰρ ἐπὴν ἔλθῃσιν Ὀδυσσῆος φίλος υἱός, αὐτός τοι χλαῖνάν τε χιτῶνά τε εἵματα δώσει, πέμψει δʼ ὅππῃ σε κραδίη θυμός τε κελεύει."
46,80,436,"Homer, Odyssey 15.326-15.339",del|per,1049,"αὐτὰρ ἐπὴν ἔλθῃσιν Ὀδυσσῆος φίλος υἱός, κεῖνός σε χλαῖνάν τε χιτῶνά τε εἵματα ἕσσει, πέμψει δʼ ὅππη σε κραδίη θυμός τε κελεύει."
47,80,460,"Homer, Odyssey 16.69-16.89",del|que,1073,"χλαῖνάν τε χιτῶνά τε, εἵματα καλά, δώσω δὲ ξίφος ἄμφηκες καὶ ποσσὶ πέδιλα, πέμψω δʼ ὅππη μιν κραδίη θυμός τε κελεύει. "
48,80,1218,"Homer, Odyssey 21.331-21.342",del|vow,1269,"χλαῖνάν τε χιτῶνά τε, εἵματα καλά, δώσω δʼ ὀξὺν ἄκοντα, κυνῶν ἀλκτῆρα καὶ ἀνδρῶν, καὶ ξίφος ἄμφηκες· δώσω δʼ ὑπὸ ποσσὶ πέδιλα, πέμψω δʼ ὅππη μιν κραδίη θυμός τε κελεύει."
49,84,402,"Homer, Odyssey 14.166-14.190",del|que,1015,"ἀλλʼ ἄγε μοι σύ, γεραιέ, τὰ σʼ αὐτοῦ κήδεʼ ἐνίσπες καί μοι τοῦτʼ ἀγόρευσον ἐτήτυμον, ὄφρʼ ἐῢ "
50,84,1302,"Homer, Odyssey 24.244-24.279",del|inf|nar,1346,"ἀλλʼ ἄγε μοι τόδε εἰπὲ καὶ ἀτρεκέως κατάλεξον, τεῦ δμὼς εἶς ἀνδρῶν; τεῦ δʼ ὄρχατον ἀμφιπολεύεις; καὶ μοι τοῦτʼ ἀγόρευσον ἐτήτυμον, ὄφρʼ ἐῢ εἰδῶ, "
51,84,1303,"Homer, Odyssey 24.281-24.301",del|que,1347,"ἀλλʼ ἄγε μοι τόδε εἰπὲ καὶ ἀτρεκέως κατάλεξον, πόστον δὴ ἔτος ἐστίν, ὅτε ξείνισσας ἐκεῖνον σὸν ξεῖνον δύστηνον, ἐμὸν παῖδʼ, εἴ ποτʼ ἔην γε, δύσμορον; ὅν που τῆλε φίλων καὶ πατρίδος αἴης ἠέ που ἐν πόντῳ φάγον ἰχθύες, ἢ ἐπὶ χέρσου θηρσὶ καὶ οἰωνοῖσιν ἕλωρ γένετʼ· οὐδέ ἑ μήτηρ κλαῦσε περιστείλασα πατήρ θʼ, οἵ μιν τεκόμεσθα· οὐδʼ ἄλοχος πολύδωρος, ἐχέφρων Πηνελόπεια, κώκυσʼ ἐν λεχέεσσιν ἑὸν πόσιν, ὡς ἐπεῴκει, ὀφθαλμοὺς καθελοῦσα· τὸ γὰρ γέρας ἐστὶ θανόντων. καί μοι τοῦτʼ ἀγόρευσον ἐτήτυμον, ὄφρʼ ἐῢ "
52,84,1354,"Homer, Odyssey 1.158-1.177",nar|que,704,"ἀλλʼ ἄγε μοι τόδε εἰπὲ καὶ ἀτρεκέως κατάλεξον· τίς πόθεν εἰς ἀνδρῶν; πόθι τοι πόλις ἠδὲ τοκῆες; ὁπποίης τʼ ἐπὶ νηὸς ἀφίκεο· πῶς δέ σε ναῦται ἤγαγον εἰς Ἰθάκην; τίνες ἔμμεναι εὐχετόωντο; οὐ μὲν γάρ τί σε πεζὸν ὀίομαι ἐνθάδʼ ἱκέσθαι. καί μοι τοῦτʼ ἀγόρευσον ἐτήτυμον, ὄφρʼ ἐὺ εἰδῶ, "
53,104,318,"Homer, Odyssey 4.333-4.592",nar|res,776,"ὢ πόποι, ἦ μάλα δὴ κρατερόφρονος ἀνδρὸς ἐν εὐνῇ ἤθελον εὐνηθῆναι ἀνάλκιδες αὐτοὶ ἐόντες. ὡς δʼ ὁπότʼ ἐν ξυλόχῳ ἔλαφος κρατεροῖο λέοντος νεβροὺς κοιμήσασα νεηγενέας γαλαθηνοὺς κνημοὺς ἐξερέῃσι καὶ ἄγκεα ποιήεντα βοσκομένη, ὁ δʼ ἔπειτα ἑὴν εἰσήλυθεν εὐνήν, ἀμφοτέροισι δὲ τοῖσιν ἀεικέα πότμον ἐφῆκεν, ὣς Ὀδυσεὺς κείνοισιν ἀεικέα πότμον ἐφήσει. αἲ γάρ, Ζεῦ τε πάτερ καὶ Ἀθηναίη καὶ Ἄπολλον, "
54,104,494,"Homer, Odyssey 17.108-17.149",inf,1107,"ὢ πόποι, ἦ μάλα δὴ κρατερόφρονος ἀνδρὸς ἐν εὐνῇ ἤθελον εὐνηθῆναι, ἀνάλκιδες αὐτοὶ ἐόντες. ὡς δʼ ὁπότʼ ἐν ξυλόχῳ ἔλαφος κρατεροῖο λέοντος νεβροὺς κοιμήσασα νεηγενέας γαλαθηνοὺς κνημοὺς ἐξερέῃσι καὶ ἄγκεα ποιήεντα βοσκομένη, ὁ δʼ ἔπειτα ἑὴν εἰσήλυθεν εὐνήν, ἀμφοτέροισι δὲ τοῖσιν ἀεικέα πότμον ἐφῆκεν, ὣς Ὀδυσεὺς κείνοισιν ἀεικέα πότμον ἐφήσει. αἲ γάρ, Ζεῦ τε πάτερ καὶ Ἀθηναίη καὶ Ἄπολλον, "
55,104,495,"Homer, Odyssey 17.124-17.146",inf|nar,1108,"ὢ πόποι, ἦ μάλα δὴ κρατερόφρονος ἀνδρὸς ἐν εὐνῇ ἤθελον εὐνηθῆναι, ἀνάλκιδες αὐτοὶ ἐόντες. ὡς δʼ ὁπότʼ ἐν ξυλόχῳ ἔλαφος κρατεροῖο λέοντος νεβροὺς κοιμήσασα νεηγενέας γαλαθηνοὺς κνημοὺς ἐξερέῃσι καὶ ἄγκεα ποιήεντα βοσκομένη, ὁ δʼ ἔπειτα ἑὴν εἰσήλυθεν εὐνήν, ἀμφοτέροισι δὲ τοῖσιν ἀεικέα πότμον ἐφῆκεν, ὣς Ὀδυσεὺς κείνοισιν ἀεικέα πότμον ἐφήσει. αἲ γάρ, Ζεῦ τε πάτερ καὶ Ἀθηναίη καὶ Ἄπολλον, "
56,104,1099,"Homer, Iliad 7.124-7.160",del|nar,186,"ὢ πόποι ἦ μέγα πένθος Ἀχαιΐδα γαῖαν ἱκάνει. ἦ κε μέγʼ οἰμώξειε γέρων ἱππηλάτα Πηλεὺς ἐσθλὸς Μυρμιδόνων βουληφόρος ἠδʼ ἀγορητής, ὅς ποτέ μʼ εἰρόμενος μέγʼ ἐγήθεεν ᾧ ἐνὶ οἴκῳ πάντων Ἀργείων ἐρέων γενεήν τε τόκον τε. τοὺς νῦν εἰ πτώσσοντας ὑφʼ Ἕκτορι πάντας ἀκούσαι, πολλά κεν ἀθανάτοισι φίλας ἀνὰ χεῖρας ἀείραι θυμὸν ἀπὸ μελέων δῦναι δόμον Ἄϊδος εἴσω. αἲ γὰρ Ζεῦ τε πάτερ καὶ Ἀθηναίη καὶ Ἄπολλον "
57,120,124,"Homer, Iliad 24.171-24.187",con|inf|mes,661,"Διὸς δέ τοι ἄγγελός εἰμι, ὅς σευ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει. λύσασθαί σʼ "
58,120,1336,"Homer, Iliad 2.60-2.70",com|mes,40,"Διὸς δέ τοι ἄγγελός εἰμι, ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει· θωρῆξαί σε "
59,120,1338,"Homer, Iliad 2.23-2.34",com|mes,38,"Διὸς δέ τοι ἄγγελός εἰμι, ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει. θωρῆξαί σε "
60,120,1367,"Homer, Iliad 2.56-2.75",del|inf|nar,39,"Διὸς δέ τοι ἄγγελός εἰμι, ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει· θωρῆξαί σε "
61,155,829,"Homer, Odyssey 5.118-5.144",del|vit,815,νῆα θοὴν ἀργῆτι κεραυνῷ Ζεὺς ἔλσας ἐκέασσε μέσῳ ἐνὶ οἴνοπι πόντῳ. 
62,155,903,"Homer, Odyssey 7.241-7.297",nar,851,νῆα θοὴν ἀργῆτι κεραυνῷ Ζεὺς ἔλσας ἐκέασσε μέσῳ ἐνὶ οἴνοπι πόντῳ. 
63,155,1107,"Homer, Odyssey 11.378-12.453",nar,957,νῆα θοὴν ἀργῆτι κεραυνῷ τυτθὰ βαλὼν κεάσαιμι μέσῳ ἐνὶ οἴνοπι πόντῳ. 
64,155,1163,"Homer, Odyssey 12.385-12.388",del,983,νῆα θοὴν ἀργῆτι κεραυνῷ τυτθὰ βαλὼν κεάσαιμι μέσῳ ἐνὶ οἴνοπι πόντῳ.
65,173,153,"Homer, Iliad 24.379-24.385",del,674,"ἀλλʼ ἄγε μοι τόδε εἰπὲ καὶ ἀτρεκέως κατάλεξον, ἠέ πῃ ἐκπέμπεις κειμήλια πολλὰ καὶ ἐσθλὰ ἄνδρας ἐς ἀλλοδαποὺς ἵνα περ τάδε τοι σόα μίμνῃ, ἦ ἤδη πάντες καταλείπετε Ἴλιον ἱρὴν δειδιότες· τοῖος γὰρ ἀνὴρ ὤριστος ὄλωλε σὸς πάϊς· οὐ μὲν γάρ τι "
